sim_time_s,key_index,letter,x,y,heading_deg
0.1530,13,k,49.995,16.963,117.31
1.7150,14,i,50.005,12.016,5.63
2.6690,23,c,51.579,20.004,134.35
2.8230,22,x,49.994,20.894,165.55
3.2460,13,k,45.367,19.995,-157.73
4.3840,4,d,41.957,9.991,-52.61
5.2170,13,k,49.030,10.004,82.03
6.4410,4,d,41.458,9.993,-65.73
7.1110,13,k,47.864,10.008,45.47
8.6210,12,u,39.995,18.648,-153.09
9.4170,13,k,40.012,12.617,-11.17
10.3030,12,u,39.995,18.901,157.39
11.6160,13,k,40.006,14.849,51.47
12.0250,12,u,39.999,18.808,125.47
12.1790,21, ,38.482,20.004,151.39
12.4810,12,u,35.549,19.994,-152.93
15.5850,13,k,40.008,12.220,34.35
16.3500,22,x,42.820,20.001,113.71
16.6860,21, ,39.990,21.250,-171.89
16.8860,12,u,37.870,19.996,-132.37
17.6200,13,k,40.003,12.202,-27.25
18.9140,22,x,47.949,20.011,97.47
19.9960,21, ,39.999,20.257,-103.49
20.0290,12,u,39.944,19.998,-100.21
20.2120,13,k,40.001,18.549,-75.57
21.1110,22,x,46.130,20.007,98.27
21.9120,21, ,39.999,22.055,-157.57
22.2160,12,u,37.675,19.998,-106.93
22.7530,13,k,40.001,14.755,-21.65
23.6300,22,x,43.544,20.003,129.71
24.0390,21, ,39.994,22.526,173.31
24.4040,12,u,36.695,19.998,-115.89
25.1450,13,k,40.003,14.118,2.67
26.0370,22,x,45.245,20.005,113.23
26.7950,21, ,40.000,24.193,-160.29
27.3430,12,u,38.144,20.000,-79.73
27.6270,13,k,40.011,17.305,-27.49
28.2140,22,x,45.266,20.002,69.31
29.1330,21, ,39.996,21.508,-120.37
29.2890,12,u,39.322,19.994,-115.89
29.8250,13,k,40.004,13.705,-37.41
30.8360,22,x,44.604,20.004,128.67
31.3610,21, ,39.995,21.094,-154.69
31.5390,12,u,38.767,19.991,-122.69
32.1990,13,k,40.004,14.225,-22.05
33.3370,22,x,48.342,20.004,107.15
34.2020,13,k,42.290,19.992,-89.09
35.0580,14,i,50.004,18.818,42.91
35.2020,23,c,50.761,20.005,70.75
35.5170,22,x,49.998,23.616,131.23
36.3930,13,k,43.528,19.998,-104.13
37.2130,14,i,50.004,15.007,13.87
37.9220,23,c,53.724,20.009,110.75
38.3340,22,x,49.995,21.679,-162.05
38.6050,13,k,47.993,19.996,-124.77
39.1600,14,i,50.001,15.121,-11.25
40.0280,23,c,55.522,20.009,102.51
40.6290,22,x,49.990,23.329,172.59
41.1420,13,k,46.474,19.989,-103.09
41.8410,14,i,50.003,14.823,-10.61
42.8090,23,c,56.831,20.003,96.91
43.6060,22,x,49.995,22.892,-145.17
43.9320,13,k,48.225,19.996,-101.17
44.3600,14,i,50.008,16.268,-20.37
45.0630,23,c,55.160,20.005,80.75
45.8280,22,x,49.996,22.424,-131.41
46.1160,13,k,48.901,19.999,-95.01
46.4430,14,i,50.003,16.852,-54.37
48.2530,13,k,49.999,17.575,-119.81
48.5830,14,i,50.001,14.039,-57.73
50.1240,23,c,56.572,20.005,148.99
50.4140,14,i,53.831,19.996,-141.33
50.9420,13,k,50.000,15.680,-95.01
50.9830,14,i,50.000,15.223,-85.49
54.6010,15,h,60.007,11.034,12.11
55.3890,14,i,59.999,16.471,160.83
56.2300,5,o,55.054,9.994,-87.89
56.9780,6,m,60.000,7.583,65.87
57.1870,5,o,59.997,9.425,113.63
57.2440,14,i,59.581,10.007,136.19
57.7710,5,o,54.487,9.994,-148.61
60.5000,4,d,50.000,4.714,-138.85
61.6810,5,o,50.005,0.000,-55.17
62.4120,6,m,60.009,0.000,-7.09
63.7900,5,o,59.997,8.128,-171.49
64.9000,6,m,60.006,0.000,-42.69
65.6350,7,s,70.008,0.000,-6.77
66.8840,6,m,69.992,6.813,176.43
68.4360,7,s,70.003,0.000,-49.97
69.2190,8,t,80.000,0.340,36.35
69.6510,7,s,79.996,3.917,126.99
70.8310,6,m,69.997,3.423,-174.05
71.9780,5,o,59.998,4.074,-154.53
73.0720,4,d,49.991,6.861,155.71
75.1090,5,o,50.008,0.000,-29.09
77.2920,4,d,49.999,3.801,-143.17
78.2570,3,n,39.988,0.000,-137.09
80.4260,4,d,40.004,0.000,-49.09
81.1460,5,o,50.011,0.000,-5.89
82.2410,4,d,49.996,7.377,163.63
84.1540,5,o,50.006,0.000,-31.01
84.7970,6,m,60.005,0.002,0.83
85.4770,5,o,59.997,4.885,131.15
86.5370,4,d,49.996,5.116,-177.97
87.5860,3,n,39.994,4.893,143.79
90.0730,4,d,40.016,0.000,-21.09
91.9490,3,n,39.995,6.386,-153.65
92.7600,4,d,40.003,0.000,-57.09
93.5050,5,o,50.013,0.000,-1.09
94.3720,4,d,49.992,6.806,150.19
95.6560,3,n,39.995,2.115,-141.01
97.7400,4,d,40.000,0.000,-25.09
98.3550,5,o,50.009,0.003,1.63
99.1430,4,d,49.994,5.707,165.95
100.1640,3,n,39.994,4.131,171.31
102.6590,4,d,40.001,0.000,-33.25
103.3760,5,o,50.004,0.000,-6.37
104.8890,4,d,49.992,6.826,-179.17
106.3050,5,o,50.007,0.000,-37.09
106.9490,6,m,60.016,0.000,-11.49
107.6430,7,s,70.012,0.041,5.63
108.4930,6,m,69.992,7.432,150.67
111.3210,7,s,70.017,0.000,-17.09
113.1390,6,m,69.992,9.057,153.71
114.9540,15,h,67.665,10.004,143.07
115.4800,6,m,62.227,9.995,-139.57
116.8570,15,h,65.222,10.004,124.83
117.4420,14,i,59.996,12.244,-158.05
117.7400,5,o,57.385,9.990,-115.73
118.3350,6,m,60.007,5.547,-10.45
119.0320,15,h,64.074,10.000,87.15
119.7300,14,i,59.995,15.924,178.03
