sim_time_s,key_index,letter,x,y,heading_deg
0.2830,2,z,20.007,7.559,-12.64
0.7320,11,w,24.024,10.001,56.72
1.6150,10,a,19.991,15.003,-152.72
2.1290,1,e,18.801,9.999,-43.12
2.2890,2,z,20.010,9.485,-9.28
2.5740,11,w,23.079,10.004,38.00
3.7880,10,a,19.995,18.496,176.32
4.8110,1,e,18.835,9.999,-46.32
4.9530,2,z,20.003,9.278,-15.28
5.2420,11,w,22.696,10.004,54.72
6.0140,10,a,19.994,14.812,-149.36
6.5430,1,e,17.437,9.997,-94.96
7.0120,2,z,20.002,7.271,27.44
7.3400,11,w,21.524,10.003,85.28
7.7240,10,a,19.997,13.644,137.28
8.7850,9,y,9.990,16.133,-142.32
9.3470,10,a,10.007,10.721,-56.48
9.4180,1,e,10.526,9.996,-48.08
9.8990,10,a,15.752,10.010,49.52
13.4650,9,y,9.999,19.306,-135.28
13.9520,10,a,10.004,14.548,-64.56
15.1120,19,q,16.612,20.008,117.84
15.8690,10,a,10.771,19.995,-110.16
16.0930,9,y,10.000,17.607,-100.16
16.5120,10,a,10.001,12.846,-74.88
18.1420,19,q,18.531,20.013,126.32
18.9440,10,a,11.287,20.000,-120.64
20.4140,19,q,19.453,20.005,121.60
21.0870,10,a,13.503,19.993,-110.16
22.3930,19,q,18.516,20.002,128.24
23.1340,10,a,11.303,19.991,-106.64
24.3000,11,w,20.004,12.977,1.76
25.0420,20,f,20.233,20.004,154.88
25.0620,19,q,19.995,20.110,156.32
25.4470,10,a,15.787,19.997,-147.36
26.7350,11,w,20.002,14.939,43.12
27.2210,10,a,19.998,19.455,152.48
29.7680,19,q,17.952,20.008,120.96
30.4340,10,a,11.791,19.996,-120.88
32.0050,19,q,16.494,20.004,157.36
32.1940,10,a,14.639,19.997,-162.48
33.6390,11,w,20.000,11.616,15.52
34.5910,20,f,20.988,20.008,140.96
34.6860,19,q,19.999,20.706,152.96
35.1420,10,a,15.589,19.996,-116.32
36.0910,11,w,20.002,13.385,11.44
36.9390,10,a,19.998,19.914,151.76
36.9630,19,q,19.828,20.002,153.60
37.2540,10,a,16.119,19.996,-151.76
40.2310,1,e,15.604,9.999,-21.76
40.5920,10,a,19.348,10.006,34.56
40.6760,11,w,20.005,10.620,49.76
41.1650,10,a,19.994,14.750,120.96
42.5380,1,e,13.162,9.993,-48.32
43.2430,2,z,20.006,8.559,41.92
43.4230,11,w,21.303,10.002,60.56
44.2610,20,f,22.635,20.008,106.64
44.6030,19,q,19.996,21.614,-173.84
44.9360,10,a,16.979,19.996,-134.56
45.8850,11,w,20.012,13.812,9.12
46.6810,20,f,22.195,20.005,148.80
46.9110,19,q,19.993,20.477,178.72
47.0770,10,a,18.269,19.998,-145.12
47.9950,11,w,20.007,12.563,-9.12
49.1660,20,f,27.310,20.011,120.72
49.9560,19,q,19.991,22.281,-151.36
50.2030,10,a,18.710,19.992,-91.92
50.5160,11,w,20.001,17.123,-36.64
51.3270,20,f,26.006,20.011,97.12
52.2780,11,w,20.369,19.995,-96.96
53.3990,20,f,25.519,20.003,143.84
53.7210,11,w,22.337,19.997,-144.88
55.3960,20,f,26.854,20.006,116.64
57.7080,21, ,30.002,23.852,76.32
58.2240,20,f,30.000,28.826,104.08
59.4940,19,q,20.000,30.000,150.08
60.1940,18,g,9.995,29.972,-171.28
60.7640,19,q,10.005,25.373,-41.92
61.8310,20,f,20.006,23.784,-1.60
63.6420,19,q,19.990,30.000,134.32
64.3480,18,g,9.991,30.000,166.08
65.7430,19,q,10.001,23.048,-26.88
68.4740,20,f,20.007,23.037,40.64
69.6260,21, ,30.004,27.615,-14.56
70.8050,22,x,40.001,22.259,12.00
72.1460,21, ,39.995,30.000,156.48
73.7890,22,x,40.005,22.992,11.04
75.3740,21, ,39.997,30.000,138.08
76.0710,20,f,29.995,30.000,171.68
77.1900,21, ,30.012,22.105,2.00
78.2790,20,f,29.999,29.490,144.88
78.9970,19,q,19.982,30.000,166.88
81.1760,20,f,20.004,24.958,24.40
82.2890,21, ,30.009,25.107,-31.76
83.4490,22,x,40.003,24.689,28.96
84.4720,23,c,50.007,26.395,-18.24
85.6240,24,v,60.006,24.165,12.72
86.6790,25,j,70.009,25.210,-28.56
87.7730,26,l,80.003,24.592,33.84
89.7640,25,j,79.996,30.000,150.08
90.4040,24,v,69.999,29.991,-176.32
91.1530,25,j,70.001,24.481,-44.40
93.7910,24,v,69.989,30.000,134.08
94.5270,23,c,59.988,30.000,166.08
96.6950,24,v,60.003,23.784,62.72
97.4780,23,c,59.999,30.000,122.08
98.2720,22,x,49.999,30.000,157.60
99.9330,23,c,50.004,22.553,39.60
102.2380,22,x,49.997,30.000,130.64
102.9980,21, ,39.994,29.578,-146.16
103.4130,22,x,40.004,25.493,-42.56
104.4440,23,c,50.006,23.437,34.08
105.5850,24,v,60.004,25.267,46.80
106.5490,25,j,70.023,28.940,4.00
107.6210,26,l,80.012,23.177,21.44
110.8100,25,j,79.991,30.000,153.04
112.7330,26,l,80.001,25.062,78.08
112.9630,25,j,79.999,27.301,103.92
114.1640,24,v,69.994,30.000,158.80
115.6370,25,j,70.000,22.930,-11.12
117.2780,24,v,69.990,30.000,126.08
118.1150,23,c,59.986,30.000,170.08
119.7270,24,v,60.012,20.258,-8.96
