sim_time_s,key_index,letter,x,y,heading_deg
0.5230,14,i,59.997,15.267,-172.34
1.2690,5,o,54.971,9.995,-96.34
2.1760,6,m,60.002,7.352,51.34
2.4500,15,h,61.896,10.004,72.78
2.8830,14,i,60.000,14.203,140.54
3.9680,5,o,52.248,9.999,-78.02
4.9690,14,i,59.092,10.007,100.46
5.7670,5,o,52.774,9.995,-112.50
7.7700,4,d,49.999,5.781,-132.90
8.4480,5,o,50.001,0.000,-70.10
9.3700,6,m,60.014,0.000,-24.26
10.0050,7,s,70.007,0.000,-9.70
11.1060,6,m,69.994,6.578,169.34
12.3680,5,o,59.994,3.468,-155.06
13.2500,4,d,49.999,3.761,157.50
14.3020,3,n,39.993,5.027,161.02
15.4800,2,z,29.994,4.084,-162.90
16.5670,1,e,19.998,6.794,177.10
17.6390,0,r,9.989,4.255,-166.82
20.7200,1,e,10.006,0.000,-14.74
21.8730,0,r,9.997,6.850,162.30
23.3940,1,e,10.001,0.021,5.34
24.0830,0,r,9.990,5.459,138.94
25.9220,1,e,10.005,0.000,-35.78
26.6660,2,z,20.009,0.962,48.46
27.0690,1,e,19.994,5.063,124.06
28.2090,0,r,9.998,6.019,-133.54
29.5570,1,e,10.001,0.000,-47.14
31.3670,10,a,10.591,10.000,174.78
31.4380,9,y,9.999,10.021,-177.94
31.4670,0,r,9.623,10.000,-176.50
32.6870,1,e,10.001,1.735,14.86
33.3720,0,r,9.999,8.389,136.22
33.6680,9,y,7.660,10.003,155.98
33.8910,0,r,5.917,9.998,-166.18
35.2880,9,y,7.645,10.002,107.26
37.2570,0,r,0.000,9.988,-134.34
38.7400,1,e,10.009,0.000,-5.94
39.4090,2,z,20.008,0.023,3.50
40.2430,1,e,19.999,6.030,139.02
42.2200,2,z,20.008,0.000,-34.90
45.7150,3,n,30.001,0.000,-22.02
47.0900,2,z,29.992,7.093,168.86
48.0570,1,e,20.000,6.699,-161.22
50.3890,2,z,20.004,0.000,-17.46
51.0600,3,n,30.009,0.088,15.26
52.0500,2,z,29.993,8.739,125.66
52.1770,11,w,28.916,10.002,135.98
52.7200,2,z,24.106,9.988,-129.38
54.0990,3,n,30.008,0.000,-28.58
56.0930,2,z,29.999,7.137,-159.78
57.0740,3,n,30.002,0.213,-26.90
57.7370,4,d,40.000,0.205,24.22
58.3010,3,n,39.998,4.593,106.78
60.6360,4,d,40.009,0.000,-19.54
61.9760,3,n,39.991,6.998,173.34
64.4910,4,d,40.012,0.000,-30.90
65.1720,5,o,50.000,0.690,44.94
65.6450,4,d,49.999,5.138,142.70
66.8090,3,n,39.996,4.956,173.02
68.0160,2,z,29.996,0.497,-118.34
69.1380,3,n,30.003,0.000,-54.90
69.8130,4,d,40.012,0.089,17.34
70.3250,3,n,39.996,4.508,131.34
71.5210,2,z,29.998,3.293,-160.58
72.3410,1,e,19.999,3.095,153.82
73.5460,0,r,9.999,7.177,177.42
75.2870,1,e,10.007,0.000,-42.66
76.0150,2,z,20.020,0.000,-6.82
77.7110,1,e,19.999,6.534,-163.70
78.8980,0,r,9.992,5.647,141.02
81.5840,1,e,10.009,0.000,-30.90
83.6590,0,r,9.995,9.548,169.66
83.8720,9,y,7.494,10.000,175.42
83.9570,0,r,6.656,9.999,-172.82
85.1950,1,e,10.001,6.220,49.26
85.5670,10,a,11.036,10.007,96.94
85.8500,9,y,9.997,12.544,131.58
87.2030,10,a,10.010,11.146,35.10
88.1740,9,y,9.993,19.248,140.54
88.3170,18,g,8.621,20.004,159.18
88.6690,9,y,5.269,19.996,-148.82
89.8500,18,g,8.622,20.002,79.50
91.1550,9,y,1.354,19.994,-88.90
92.0380,18,g,8.409,20.001,59.58
93.4740,9,y,0.092,19.990,-123.54
94.1160,0,r,0.000,9.978,-97.86
95.2630,9,y,7.288,10.004,44.54
98.4690,18,g,3.670,20.002,159.50
99.2850,9,y,0.000,19.998,-163.54
100.4180,0,r,0.000,9.993,-122.90
102.6510,1,e,10.011,0.000,-26.90
104.1290,0,r,9.997,7.408,161.42
107.5400,9,y,8.964,10.008,77.74
109.1380,0,r,0.000,9.998,-129.86
111.1090,1,e,10.017,0.000,-21.38
112.8870,0,r,9.995,6.238,-145.94
113.9720,1,e,10.008,0.000,-60.82
114.9430,2,z,20.011,0.000,-24.26
115.6580,3,n,30.006,1.098,50.62
116.0590,2,z,29.998,5.409,123.98
117.0990,1,e,19.998,6.844,-133.06
118.6380,2,z,20.001,0.000,-62.26
119.3720,3,n,30.003,0.000,-2.98
