slot,root_id,super_class,class,sub_class,cell_type,hemibrain_type,consolidated_type,side,nerve,nt,sign
247,720575940624593132,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
248,720575940624642452,central,,,,LHAV2b7_a,CB2596,right,,ACH,1
249,720575940624824248,central,,,SMP284b,SMP284,SMP284b,right,,GLUT,-1
250,720575940625014928,central,ALPN,uniglomerular,,VA1v_adPN,VA1v_adPN,right,,ACH,1
251,720575940625019481,central,Kenyon_Cell,,KCab,KCab-m,KCab,left,,ACH,1
252,720575940625022270,central,ALPN,multiglomerular,,M_lPNm11D,M_lPNm11D,right,,ACH,1
253,720575940625084291,central,,,,WED100,WED100,left,,GLUT,-1
254,720575940625101841,central,,,,AOTU051,AOTU051,right,,GABA,-1
255,720575940625117498,central,,,,LAL094,LAL094,left,,GLUT,-1
256,720575940625157117,central,,,,,CB3895,right,,ACH,1
257,720575940625185317,central,,,CB0959,,CB0959,left,,GLUT,-1
258,720575940625286473,central,LHLN,,CB1664,,CB1664,left,,GABA,-1
259,720575940625296969,central,,,,CRE106,CRE106,left,,ACH,1
260,720575940625419036,central,,,,AVLP486,AVLP486,left,,GABA,-1
261,720575940625591042,central,,,CB2806,,CB2806,right,,ACH,1
262,720575940625617948,central,,,,IB110,IB110,left,,GLUT,-1
263,720575940625667365,central,Kenyon_Cell,,KCapbp-m,KCab-m,KCapbp-m,right,,ACH,1
264,720575940625689105,central,,,CB1616,,CB1616,left,,ACH,1
265,720575940625709464,central,,,CB1833,,CB1833,left,,GLUT,-1
266,720575940625711152,central,,,LHAV6a3,,LHAV6a3,right,,ACH,1
267,720575940625781541,central,Kenyon_Cell,,KCapbp-ap2,KCab-ap2,KCapbp-ap2,right,,ACH,1
268,720575940625800841,central,,,CB0929,,CB0929,right,,ACH,1
269,720575940625853477,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
270,720575940625858536,central,,,CB2021,,CB2021,left,,ACH,1
271,720575940625926677,central,,,CB1761,,CB1761,right,,GABA,-1
272,720575940625929790,central,Kenyon_Cell,,KCab,KCab-c,KCab,left,,ACH,1
273,720575940625939801,central,Kenyon_Cell,,KCab,KCab-s,KCab,right,,ACH,1
274,720575940626013315,central,,,,PS010,PS010,left,,ACH,1
275,720575940626031108,central,,,,CL104,CL104,left,,ACH,1
276,720575940626143806,central,ALPN,uniglomerular,,V_ilPN,V_ilPN,right,,ACH,1
277,720575940626225941,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
278,720575940626226946,central,,,,SIP015,CB4198,left,,GLUT,-1
279,720575940626243428,central,,,CB0240,,CB0240,left,,ACH,1
280,720575940626275656,central,Kenyon_Cell,,KCab,KCab-s,KCab,left,,ACH,1
281,720575940626287644,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
282,720575940626316802,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
283,720575940626326018,central,,,CB1017,,CB1017,left,,ACH,1
284,720575940626337555,central,,,CB1591,,CB1591,left,,ACH,1
285,720575940626365450,central,,,,SMP173,SMP173,right,,ACH,1
286,720575940626372733,central,,,CB2100,,CB2100,left,,ACH,1
287,720575940626454786,central,,,CB1359,,CB1359,right,,GLUT,-1
288,720575940626605211,central,CX,columnar,,"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",vDeltaB,right,,ACH,1
289,720575940626686282,central,,,CB2190,,CB2190,right,,GLUT,-1
290,720575940626709373,central,,,,"SMP602,SMP094",SMP094,right,,GLUT,-1
291,720575940626717461,central,,,CB3287,,CB3287,left,,ACH,1
292,720575940626717712,central,,,CB1762,,CB1762,left,,ACH,1
293,720575940626805777,central,,,,AVLP187,AVLP187,right,,ACH,1
294,720575940626844559,central,,,CB2623,,CB2623,right,,ACH,1
295,720575940626873160,central,,,CB0091,,CB0091,right,,GABA,-1
296,720575940626890852,central,,,CB0859,,CB0859,left,,GABA,-1
297,720575940626986539,central,,,SLP302a,SLP302,SLP302a,right,,GLUT,-1
298,720575940626994453,central,,,,CRE079,CRE079,right,,GLUT,-1
299,720575940627126354,central,,,CB3605,,CB3605,left,,ACH,1
300,720575940627170715,central,,,,LAL094,LAL094,left,,GLUT,-1
301,720575940627200923,central,Kenyon_Cell,,KCab,KCab-c,KCab,left,,ACH,1
302,720575940627206074,central,,,CB0771,,CB0771,right,,ACH,1
303,720575940627210373,central,Kenyon_Cell,,KCapbp-ap1,KCab-ap1,KCapbp-ap1,right,,ACH,1
304,720575940627326229,central,,,,LHPV11a1,LHPV11a1,right,,ACH,1
305,720575940627480586,central,ALPN,uniglomerular,,VM3_adPN,VM3_adPN,left,,ACH,1
306,720575940627514627,central,,,CB1397,,CB1397,right,,ACH,1
307,720575940627538664,central,,,CB3737,,CB3737,left,,ACH,1
308,720575940627558662,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
309,720575940627558787,central,,,,CL089_b,CL089_b,right,,ACH,1
310,720575940627578615,central,,,,"AVLP096,AVLP256",AVLP096,left,,GABA,-1
311,720575940627594568,central,DAN,,,PPL103,PPL103,left,,DA,1
312,720575940627613801,central,,,CB2193,,CB2193,left,,GLUT,-1
313,720575940627701609,central,CX,ring_neuron,,ER3d,ER3d,left,,GABA,-1
314,720575940627708815,central,,,,LHPV4d3,LHPV4d3,left,,GLUT,-1
315,720575940627719184,central,ALPN,multiglomerular,CB3457,,CB3457,left,,GABA,-1
316,720575940627730206,central,CX,columnar,,PFGs,PFGs,right,,DA,1
317,720575940627757584,central,,,,IB060,IB060,right,,GABA,-1
318,720575940627828296,central,,,CB0885,,CB0885,left,,ACH,1
319,720575940627905223,central,Kenyon_Cell,,KCab,KCab-s,KCab,left,,ACH,1
320,720575940627908624,central,Kenyon_Cell,,KCab,KCab-m,KCab,right,,ACH,1
321,720575940628173623,central,,,,PLP113,PLP108,right,,ACH,1
322,720575940628182722,central,CX,,,"PFNm,PFNp",PFNp,left,,ACH,1
323,720575940628187074,central,,,,CL013,CL013,left,,GLUT,-1
324,720575940628224655,central,,,,"SMP258,SMP259,SMP260,SMP263,SMP264,SMP265",CB4242,left,,ACH,1
325,720575940628234599,central,,,CB2340,,CB2340,left,,ACH,1
326,720575940628256763,central,,,,LHAV4c2,LHAV4c2,right,,GABA,-1
327,720575940628309186,central,Kenyon_Cell,,KCab,KCab-s,KCab,right,,ACH,1
328,720575940628339611,central,,,,LAL017,LAL017,left,,ACH,1
329,720575940628400439,central,Kenyon_Cell,,KCab,KCab-c,KCab,left,,ACH,1
330,720575940628412145,central,,,,LHPV11a1,LHPV11a1,left,,ACH,1
331,720575940628485596,central,,,,PVLP094,PVLP094,left,,GABA,-1
332,720575940628519020,central,Kenyon_Cell,,KCab,KCab-m,KCab,right,,ACH,1
333,720575940628538494,central,,,CB3531,,CB3531,right,,ACH,1
334,720575940628576250,central,CX,columnar,,PFGs,PFGs,right,,SER,1
335,720575940628631612,central,CX,,,IbSpsP,IbSpsP,right,,ACH,1
336,720575940628698640,central,,,CB2232,,CB2232,right,,GLUT,-1
337,720575940628716926,central,,,CRE103a,CRE103,CRE103a,left,,ACH,1
338,720575940628763002,central,CX,,,"PFNm,PFNp",PFNm,right,,ACH,1
339,720575940628764437,central,,,CB3666,,CB3666,left,,GLUT,-1
340,720575940628775680,central,,,CB2884,,CB2884,right,,GLUT,-1
341,720575940628797717,central,,,PVLP082b,PVLP082,PVLP082b,left,,GLUT,-1
342,720575940628802042,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
343,720575940628829352,central,LHLN,,CB2812,,CB2812,right,,GABA,-1
344,720575940628831482,central,CX,columnar,,FR1,FR1,left,,ACH,1
345,720575940628865644,central,,,,AVLP029,AVLP029,right,,GABA,-1
346,720575940628903980,central,,,LAL043c,LAL043,LAL043c,left,,GABA,-1
347,720575940628916730,central,,,CB2067,,CB2067,left,,GABA,-1
348,720575940628938231,central,,,,SLP102,SLP102,left,,GLUT,-1
349,720575940629044123,central,,,SMP215b,SMP215,SMP215b,right,,GLUT,-1
350,720575940629063418,central,,,CB3533,,CB3533,left,,ACH,1
351,720575940629106438,central,,,,"CL121,CL122",CL121_a,right,,GABA,-1
352,720575940629134396,central,,,,LAL110,LAL110,left,,ACH,1
353,720575940629226204,central,,,CB3328,,CB3328,left,,ACH,1
354,720575940629253625,central,,,,AVLP089,AVLP089,left,,GLUT,-1
355,720575940629267531,central,,,CB1342,,CB1342,left,,GABA,-1
356,720575940629339690,central,,,CB1781,,CB1781,right,,ACH,1
357,720575940629394885,central,,,CB0926,,CB0926,right,,ACH,1
358,720575940629438524,central,,,,SLP314,SLP314,right,,GLUT,-1
359,720575940629488578,central,,,CB1699,,CB1699,right,,GLUT,-1
360,720575940629681168,central,TuBu,,,"TuBu09,TuBu10",TuBu09,right,,ACH,1
361,720575940629725711,central,Kenyon_Cell,,KCab,KCab-s,KCab,right,,ACH,1
362,720575940629788012,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
363,720575940629789562,central,,,CB3503,,CB3503,left,,ACH,1
364,720575940629804158,central,,,CB0827,,CB0827,left,,GLUT,-1
365,720575940629814060,central,Kenyon_Cell,,KCapbp-m,KCab-m,KCapbp-m,right,,ACH,1
366,720575940629989996,central,,,CB3439,,CB3439,left,,GLUT,-1
367,720575940630060539,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
368,720575940630078348,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
369,720575940630083962,central,,,,PS093,PS093,left,,GABA,-1
370,720575940630201401,central,,,CB3371,,CB3371,right,,GABA,-1
371,720575940630274678,central,,,CB0952,,CB0952,right,,ACH,1
372,720575940630281580,central,,,CB1683,,CB1683,left,,GLUT,-1
373,720575940630336057,central,Kenyon_Cell,,KCapbp-ap2,KCab-ap2,KCapbp-ap2,left,,ACH,1
374,720575940630357319,central,,,,PLP009,PLP009,left,,GLUT,-1
375,720575940630414331,central,,,CB2759,,CB2759,left,,ACH,1
376,720575940630460663,central,,,,PVLP006,PVLP006,left,,GLUT,-1
377,720575940630580217,central,,,CB2928,,CB2928,right,,ACH,1
378,720575940630598159,central,,,SLP467b,SLP467,SLP467b,right,,ACH,1
379,720575940630659781,central,LHLN,,LHPD3a2,,LHPD3a2,right,,GLUT,-1
380,720575940630735378,central,CX,columnar,,"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",vDeltaM,right,,ACH,1
381,720575940630736170,central,CX,tangential,CB.FB8C3,FB8D,FB8D,left,,GLUT,-1
382,720575940630742521,central,,,,PVLP008,PVLP008,right,,GLUT,-1
383,720575940630818242,central,,,CB1992,,CB1992,left,,ACH,1
384,720575940630899560,central,,,,aSP-g1,aSP-g1,left,,ACH,1
385,720575940630933266,central,,,,CL086_b,CL086_b,right,,ACH,1
386,720575940631017258,central,DAN,,,PAM04,PAM04,right,,DA,1
387,720575940631408199,central,Kenyon_Cell,,KCab,KCab-c,KCab,right,,ACH,1
388,720575940631420077,central,,,,SLP106,SLP106,right,,GLUT,-1
389,720575940631441145,central,,,,SAD036,SAD036,right,,GLUT,-1
390,720575940631457388,central,,,CB3470,,CB3470,left,,ACH,1
391,720575940631525004,central,,,CB2785,,CB2785,left,,GLUT,-1
392,720575940631542855,central,,,CB1420,,CB1420,left,,GLUT,-1
393,720575940631756136,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
394,720575940631879193,central,Kenyon_Cell,,KCapbp-m,KCab-m,KCapbp-m,right,,ACH,1
395,720575940631934348,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
