slot,root_id,super_class,class,sub_class,cell_type,hemibrain_type,consolidated_type,side,nerve,nt,sign
477,720575940641613728,central,,,,CL016,SLP082,right,,GLUT,-1
478,720575940642634532,central,CX,,,EPG,EPG,left,,ACH,1
479,720575940642666971,central,,,,SAD093,SAD093,right,,ACH,1
480,720575940643031240,central,,,CB2919,,CB2919,right,,DA,1
481,720575940643356320,central,CX,columnar,,"FS4A,FS4B,FS4C",FS4A,right,,ACH,1
482,720575940643535982,central,CX,,,"PFNm,PFNp",PFNp,right,,ACH,1
483,720575940643542688,central,DAN,,,PAM14,PAM14,right,,DA,1
484,720575940643573284,central,,,,WED144,WED144,left,,ACH,1
485,720575940643783534,central,,,,LAL026,LAL026,left,,ACH,1
486,720575940643823816,central,Kenyon_Cell,,,KCg-d,KCg-d,left,,ACH,1
487,720575940644004768,central,ALPN,uniglomerular,,VM1_lPN,VM1_lPN,right,,ACH,1
488,720575940644279150,central,,,,WED026,WED026,left,,GABA,-1
489,720575940645771811,central,,,SMP361a,SMP361,SMP361a,right,,ACH,1
490,720575940645823876,central,CX,,,Delta7,Delta7,right,,GLUT,-1
491,720575940646508852,central,LHLN,,CB2111,,CB2111,right,,GLUT,-1
492,720575940648200068,central,,,,LHAD1a2,LHAD1a2,left,,ACH,1
493,720575940652580086,central,,,CB0020,,CB0020,left,,GABA,-1
494,720575940652734625,central,,,CB1171,,CB1171,right,,GLUT,-1
495,720575940653028257,central,,,,IB032,IB032,right,,GLUT,-1
496,720575940654661281,central,DAN,,,PAM01,PAM01,right,,DA,1
497,720575940659489153,central,,,CB3469,,CB3469,left,,ACH,1
498,720575940659536257,central,Kenyon_Cell,,KCab,KCab-s,KCab,right,,ACH,1
499,720575940661138817,central,,,CB3402,,CB3402,left,,ACH,1
