sim_time_s,key_index,letter,x,y,heading_deg
0.3280,2,z,20.002,7.730,-33.92
1.9180,3,n,30.001,7.895,34.08
2.3880,12,u,33.115,10.001,34.08
3.4280,13,k,40.007,14.663,34.08
4.6190,22,x,47.898,20.002,34.08
4.9370,23,c,50.006,21.427,34.08
6.4320,24,v,60.006,22.517,-41.92
6.9030,15,h,62.809,20.000,-41.92
8.1120,16,b,70.006,13.538,-41.92
8.7740,7,s,73.946,9.999,-41.92
9.7930,8,t,80.003,4.783,-20.80
11.2810,17,p,85.018,10.004,138.08
12.1240,16,b,80.000,14.510,138.08
13.1520,25,j,73.881,20.004,138.08
13.8040,24,v,70.000,23.489,138.08
15.4070,23,c,59.998,21.968,-145.92
15.8460,14,i,57.089,20.000,-145.92
16.9160,13,k,49.999,15.204,-145.92
18.0770,4,d,42.305,9.999,-145.92
18.4250,3,n,40.000,8.439,-145.92
19.8500,2,z,29.996,6.672,150.08
20.6840,11,w,24.213,10.000,150.08
21.2920,10,a,19.997,12.427,150.08
22.7340,9,y,9.999,18.181,150.08
23.1900,18,g,6.837,20.001,150.08
25.0220,19,q,10.003,21.881,-45.92
25.3500,10,a,11.828,19.996,-45.92
26.8190,11,w,20.003,11.554,-45.92
27.0900,2,z,21.512,9.996,-45.92
28.5720,3,n,30.002,5.248,30.08
29.9260,4,d,40.001,9.367,22.08
30.1370,13,k,41.565,10.001,22.08
31.2750,14,i,50.001,13.423,22.08
32.6240,15,h,60.002,17.479,22.08
33.4630,24,v,66.222,20.002,22.08
33.9730,25,j,70.003,21.536,22.08
35.3010,26,l,80.002,24.551,-16.40
36.4400,17,p,86.558,19.994,-110.32
37.4750,16,b,79.994,15.069,-145.92
38.6060,7,s,72.500,9.999,-145.92
38.9840,6,m,69.995,8.305,-145.92
40.4100,5,o,59.999,6.824,150.08
41.2060,14,i,54.480,10.000,150.08
41.8530,13,k,49.994,12.582,150.08
43.2950,12,u,39.995,18.337,150.08
43.7120,21, ,37.104,20.001,150.08
44.7350,20,f,29.999,24.062,154.08
46.0210,19,q,19.993,23.721,-157.92
47.2590,10,a,10.815,19.999,-157.92
47.3690,9,y,10.000,19.668,-157.92
49.9580,10,a,10.003,16.816,-5.92
