sim_time_s,key_index,letter,x,y,heading_deg
140.9090,24,v,66.381,20.003,130.91
142.2360,23,c,59.994,25.156,-138.69
143.3420,14,i,52.808,20.000,-145.09
143.7710,13,k,49.994,18.036,-145.09
145.2950,12,u,39.996,11.058,-145.09
145.5260,3,n,38.481,10.000,-145.09
146.7850,2,z,29.998,4.817,175.39
147.6730,11,w,25.359,10.001,126.91
148.7890,10,a,19.996,17.139,126.91
149.2370,19,q,17.844,20.005,126.91
151.8550,10,a,12.339,19.994,-97.09
153.1140,1,e,11.096,9.999,-97.09
153.9480,0,r,9.998,3.433,-113.09
155.4930,9,y,5.909,10.006,78.91
156.8100,18,g,9.214,20.004,70.91
157.1110,19,q,10.001,22.280,70.91
159.0480,10,a,16.681,19.995,-69.09
160.2110,11,w,20.002,11.304,-69.09
160.3860,2,z,20.502,9.997,-69.09
162.6400,1,e,19.997,3.064,140.91
163.7000,10,a,16.072,10.003,118.91
165.1280,19,q,10.548,20.003,118.91
165.2700,18,g,9.999,20.998,118.91
168.4830,19,q,10.001,26.760,-62.29
169.3890,10,a,12.601,19.995,-69.09
170.7270,1,e,16.422,9.996,-69.09
174.3520,10,a,12.510,10.003,118.91
175.0010,9,y,10.000,14.548,118.91
175.7800,18,g,6.986,20.003,118.91
183.7960,9,y,8.122,19.999,-69.09
184.4540,10,a,10.001,15.082,-69.09
185.1350,1,e,11.946,9.993,-69.09
187.7710,0,r,9.999,3.769,102.99
188.5710,9,y,8.568,10.007,102.91
189.8530,18,g,6.276,20.003,102.91
192.6960,19,q,10.000,27.884,-45.97
193.7380,10,a,11.525,19.992,-81.09
195.0030,1,e,13.093,9.995,-81.09
198.3350,0,r,9.999,5.501,110.91
198.9370,9,y,8.280,10.000,110.91
200.2620,18,g,5.594,20.006,60.19
201.2850,19,q,10.006,26.862,33.31
202.5490,10,a,14.585,19.993,-73.09
203.8550,1,e,17.624,9.997,-73.09
205.1280,2,z,20.001,3.298,-20.61
205.1420,1,e,19.998,3.299,-17.97
205.6270,2,z,20.001,4.770,54.91
206.4260,11,w,23.675,10.000,54.91
207.8020,12,u,30.003,19.008,54.91
207.9540,21, ,30.702,20.003,54.91
209.9640,22,x,40.000,20.880,-65.09
210.0860,13,k,40.411,19.995,-65.09
211.4640,4,d,45.055,9.997,-65.09
213.7030,5,o,50.002,6.984,66.91
214.1130,14,i,51.288,10.001,66.91
215.4720,23,c,55.551,20.002,66.91
216.5990,24,v,60.003,26.986,-9.41
217.6110,15,h,63.559,19.997,-69.09
218.9490,6,m,67.380,9.998,-69.09
221.7760,15,h,63.994,10.003,106.91
223.0830,24,v,60.952,20.006,106.91
223.4920,23,c,60.000,23.137,106.91
224.8540,24,v,60.005,27.355,39.39
226.2280,15,h,64.512,20.000,-73.09
227.5350,6,m,67.554,9.996,-73.09
232.5100,15,h,64.819,10.003,110.91
233.8480,24,v,60.998,20.002,110.91
234.1980,23,c,59.998,22.618,110.91
236.4310,14,i,56.454,19.999,-101.09
237.7050,5,o,54.495,9.998,-101.09
239.2160,4,d,49.998,3.351,144.03
240.1770,13,k,46.179,10.002,118.91
241.6050,22,x,40.656,20.002,118.91
241.7750,21, ,39.998,21.193,118.91
244.8780,12,u,36.424,19.997,-97.09
246.1380,3,n,35.181,9.994,-97.09
248.0260,2,z,29.996,5.506,122.91
248.6960,11,w,27.083,10.005,122.91
250.1850,20,f,20.611,20.005,122.91
250.3260,19,q,19.998,20.952,122.91
252.7500,10,a,12.430,19.999,-121.09
253.3390,9,y,9.997,15.963,-121.09
254.2100,0,r,6.400,9.996,-121.09
258.6640,1,e,10.005,9.338,46.91
258.7780,10,a,10.627,10.004,46.91
260.4890,19,q,19.978,20.001,46.91
260.4940,20,f,20.005,20.030,46.91
262.1800,21, ,30.003,23.040,-45.09
262.7170,12,u,33.036,19.997,-45.09
