sim_time_s,key_index,letter,x,y,heading_deg
116.5940,19,q,15.301,20.003,119.21
121.0870,10,a,16.419,19.996,-80.79
122.3530,1,e,18.040,9.999,-80.79
127.9200,2,z,20.001,7.013,79.21
128.3010,11,w,20.572,10.007,79.21
129.5730,20,f,22.477,20.003,79.21
132.3180,11,w,29.081,19.995,-64.79
132.5880,12,u,30.001,18.041,-64.79
133.6990,3,n,33.787,9.999,-64.79
136.6100,12,u,34.936,10.004,91.21
137.8600,21, ,34.725,20.001,91.21
141.6120,22,x,40.003,22.198,-64.79
141.9160,13,k,41.039,19.997,-64.79
143.2980,4,d,45.748,9.994,-64.79
145.0700,5,o,50.002,4.231,59.21
145.9100,14,i,53.441,10.004,59.21
147.3650,23,c,59.400,20.003,59.21
147.5120,24,v,60.002,21.013,59.21
149.4680,15,h,68.786,19.995,-64.79
149.8250,16,b,70.002,17.411,-64.79
150.8490,7,s,73.492,9.999,-64.79
153.2050,8,t,80.003,8.483,63.21
153.4180,17,p,80.771,10.005,63.21
154.8330,26,l,85.353,20.006,85.77
154.8720,17,p,85.371,19.993,95.69
154.9720,26,l,85.344,20.003,106.49
156.3170,25,j,79.996,26.642,166.97
156.3390,26,l,80.001,26.647,174.17
157.4010,25,j,79.999,21.947,-104.79
157.6530,16,b,79.485,19.998,-104.79
158.9460,7,s,76.844,9.997,-104.79
160.9120,6,m,70.000,8.704,115.21
161.0920,15,h,69.386,10.007,115.21
162.4730,24,v,64.680,20.002,115.21
165.2590,23,c,59.997,22.615,-120.79
165.6400,14,i,58.436,19.996,-120.79
167.0950,5,o,52.478,9.997,-120.79
167.7010,4,d,49.996,5.832,-120.79
169.2880,13,k,41.731,10.004,131.21
169.6170,12,u,39.997,11.984,131.21
170.9490,21, ,32.977,20.000,131.21
171.5140,20,f,29.999,23.401,131.21
173.2900,11,w,20.354,19.999,-136.79
173.3510,10,a,19.998,19.665,-136.79
175.0660,9,y,9.998,10.271,-136.79
175.1160,0,r,9.707,9.997,-136.79
182.1780,1,e,10.002,9.019,19.21
182.5510,10,a,12.820,10.000,19.21
183.5020,11,w,20.004,12.504,19.21
184.8260,12,u,30.006,15.989,19.21
186.1490,13,k,40.001,19.472,19.21
186.3500,22,x,41.519,20.001,19.21
187.4730,23,c,50.003,22.957,19.21
188.7780,24,v,60.004,23.500,-16.79
190.0840,25,j,70.007,20.482,-16.79
190.2930,16,b,71.608,19.999,-16.79
191.3890,17,p,80.002,17.466,-16.79
193.1740,8,t,82.846,9.999,-148.79
193.5900,7,s,80.000,8.275,-148.79
195.1170,6,m,69.997,7.689,131.21
195.5010,15,h,67.973,10.000,131.21
197.0140,14,i,59.998,19.106,131.21
197.1630,23,c,59.213,20.003,131.21
199.1880,22,x,49.999,21.930,-124.79
199.4820,13,k,48.657,19.998,-124.79
201.0040,4,d,41.710,9.999,-124.79
201.3790,3,n,39.998,7.535,-124.79
203.0840,12,u,30.448,10.001,131.21
203.1690,11,w,30.000,10.512,131.21
204.7460,20,f,21.688,20.003,131.21
205.0670,19,q,19.996,21.935,131.21
207.0360,10,a,10.017,19.995,-136.79
207.0390,9,y,10.000,19.979,-136.79
209.6580,10,a,10.000,10.323,-28.79
209.7420,1,e,10.589,9.999,-28.79
211.1630,2,z,20.003,4.839,-3.27
212.5720,11,w,29.247,10.003,31.21
212.6830,12,u,30.006,10.463,31.21
214.1440,13,k,40.002,16.520,31.21
214.9840,22,x,45.750,20.002,31.21
215.6060,23,c,50.006,22.581,31.21
217.0540,24,v,60.003,21.890,-36.79
217.4490,15,h,62.533,19.998,-36.79
218.6150,16,b,70.003,14.412,-36.79
219.5360,7,s,75.904,9.999,-36.79
220.1760,8,t,80.004,6.933,-36.79
223.3800,7,s,79.999,9.605,147.21
223.4720,16,b,79.380,10.003,147.21
224.8670,15,h,69.998,16.047,147.21
225.7800,24,v,63.858,20.003,147.21
226.3540,23,c,59.998,22.489,147.21
227.8530,22,x,49.995,22.909,-152.79
228.6490,13,k,44.332,19.997,-152.79
229.2580,12,u,39.999,17.769,-152.79
230.6640,11,w,29.996,12.626,-152.79
231.3820,2,z,24.887,10.000,-152.79
232.0690,1,e,20.000,7.486,-152.79
233.4830,0,r,9.994,8.123,147.21
233.9170,9,y,7.075,10.003,147.21
235.6640,10,a,10.004,17.589,27.21
236.3240,19,q,14.699,20.003,27.21
237.0700,20,f,20.007,22.732,27.21
238.4010,21, ,30.002,23.070,-20.79
239.4830,12,u,38.095,19.998,-20.79
239.7380,13,k,40.002,19.274,-20.79
241.0750,14,i,50.001,15.478,-20.79
242.4120,15,h,60.001,11.681,-20.79
243.0050,6,m,64.436,9.998,-20.79
243.7490,7,s,70.001,7.885,-20.79
245.0580,8,t,80.003,5.298,5.29
248.1960,7,s,79.999,9.899,123.21
248.2120,16,b,79.929,10.006,123.21
249.7060,25,j,73.383,20.006,123.21
250.4780,24,v,70.000,25.173,123.21
251.2280,25,j,70.003,27.330,-137.99
251.3830,24,v,69.999,26.799,-100.79
252.2490,15,h,68.703,19.993,-100.79
253.5210,6,m,66.798,9.997,-100.79
255.6980,15,h,60.604,10.007,111.21
255.9070,14,i,59.999,11.566,111.21
257.0380,23,c,56.725,20.001,111.21
261.3650,24,v,60.000,20.656,-60.79
261.4590,15,h,60.367,19.999,-60.79
262.8920,6,m,65.962,9.993,-60.79
265.1390,7,s,70.004,4.853,59.21
265.8880,16,b,73.071,10.000,59.21
267.3440,25,j,79.033,20.006,59.21
267.5810,26,l,80.004,21.635,59.21
269.6410,17,p,83.321,19.998,-156.79
270.0930,16,b,79.998,18.573,-156.79
271.4530,15,h,69.998,14.285,-156.79
272.8120,6,m,60.006,10.000,-156.79
272.8130,5,o,59.999,9.997,-156.79
274.1730,4,d,50.000,5.709,-156.79
275.6070,13,k,40.209,10.002,143.21
275.6400,12,u,39.998,10.160,143.21
277.2010,11,w,29.997,17.639,143.21
277.6940,20,f,26.838,20.001,143.21
278.7500,19,q,19.995,24.946,153.61
280.2000,18,g,9.995,20.577,-148.79
280.3400,9,y,9.037,19.997,-148.79
283.4280,18,g,6.642,20.000,11.21
283.8560,19,q,10.001,20.666,11.21
285.1310,20,f,20.006,22.649,11.21
286.4050,21, ,30.006,24.132,-17.83
287.7410,22,x,40.001,20.345,-20.79
287.8630,13,k,40.913,19.999,-20.79
289.0780,14,i,50.001,16.549,-20.79
290.4150,15,h,60.000,12.752,-20.79
291.3850,6,m,67.255,9.998,-20.79
291.7530,7,s,70.007,8.953,-20.79
293.0900,8,t,80.003,5.152,-16.47
295.5330,17,p,81.713,10.003,155.21
295.7690,16,b,79.999,10.794,155.21
297.1460,15,h,69.998,15.413,155.21
298.5140,24,v,60.062,20.002,155.21
298.5230,23,c,59.997,20.032,155.21
299.8990,22,x,49.998,24.635,157.53
