sim_time_s,key_index,letter,x,y,heading_deg
1.0760,4,d,49.999,9.593,127.21
1.1400,13,k,49.690,10.001,127.21
2.7100,22,x,42.094,20.004,127.21
3.1430,21, ,39.999,22.762,127.21
5.0880,12,u,31.361,19.998,-128.79
5.3600,11,w,29.998,18.301,-128.79
6.6920,2,z,23.322,9.996,-128.79
7.3550,1,e,19.999,5.861,-128.79
8.7310,10,a,12.388,10.003,127.21
9.2250,9,y,9.998,13.151,127.21
10.2830,18,g,5.064,20.001,100.73
11.3820,19,q,10.004,26.056,-38.31
12.2970,10,a,14.100,20.000,-56.79
13.6440,11,w,20.002,10.984,-56.79
13.7910,2,z,20.646,10.000,-56.79
16.2430,11,w,28.669,10.003,59.21
16.5680,12,u,30.000,12.237,59.21
17.6980,21, ,34.628,20.003,59.21
18.8310,22,x,40.004,26.947,-3.91
19.9700,13,k,45.541,19.994,-56.79
20.9880,14,i,50.002,13.180,-56.79
21.4640,5,o,52.088,9.994,-56.79
24.2600,6,m,60.005,8.851,47.21
24.4560,15,h,61.070,10.002,47.21
26.1000,16,b,70.004,19.654,47.21
26.1590,25,j,70.325,20.000,47.21
27.7930,26,l,80.001,22.410,-44.79
28.2210,17,p,82.431,19.997,-44.79
29.7980,16,b,79.996,10.912,-140.79
29.9790,7,s,78.875,9.997,-140.79
31.3480,6,m,69.995,5.282,135.21
32.1860,15,h,65.237,10.005,135.21
33.1090,14,i,59.996,15.207,135.21
33.9600,23,c,55.165,20.003,135.21
34.8680,22,x,49.997,25.108,139.21
36.5080,13,k,40.285,19.999,-144.79
36.5520,12,u,39.998,19.796,-144.79
38.0820,11,w,29.997,12.739,-144.79
38.6760,2,z,26.115,9.999,-144.79
39.6120,1,e,19.997,5.681,-144.79
40.7550,10,a,14.054,10.004,119.21
41.7940,9,y,9.997,17.259,119.21
42.1870,18,g,8.463,20.003,119.21
45.0080,9,y,7.298,19.996,-68.79
45.9420,10,a,10.001,13.030,-68.79
46.3490,1,e,11.179,9.994,-68.79
49.1510,0,r,9.997,5.067,115.21
49.8330,9,y,7.673,10.003,115.21
51.2740,18,g,7.948,20.005,47.21
51.6520,19,q,10.002,22.224,47.21
53.2630,20,f,20.001,20.463,-40.79
53.3520,11,w,20.540,19.998,-40.79
54.9140,12,u,30.001,11.835,-40.79
55.2660,3,n,32.133,9.995,-40.79
56.5570,4,d,40.005,4.417,11.29
57.8080,13,k,48.281,10.004,35.21
58.0720,14,i,50.006,11.222,35.21
59.6010,15,h,60.000,18.275,35.21
59.9760,24,v,62.451,20.005,35.21
61.1180,25,j,70.007,25.129,22.65
62.4780,16,b,79.340,19.999,-32.79
62.5770,17,p,80.006,19.570,-32.79
64.4990,8,t,82.039,10.000,-140.79
64.8280,7,s,79.999,8.336,-140.79
66.3890,6,m,69.998,8.353,135.21
66.6820,15,h,68.334,10.005,135.21
68.1500,14,i,60.000,18.278,135.21
68.4560,23,c,58.262,20.003,135.21
69.8160,22,x,49.997,24.481,-144.79
70.7880,13,k,43.643,19.998,-144.79
71.3460,12,u,39.996,17.424,-144.79
72.8760,11,w,29.996,10.366,-144.79
72.9560,2,z,29.473,9.997,-144.79
74.3560,1,e,19.995,4.726,149.37
75.4590,10,a,12.923,10.002,143.21
75.9160,9,y,9.995,12.191,143.21
77.3000,18,g,5.722,20.003,51.21
78.1500,19,q,10.002,25.286,47.21
79.4020,10,a,16.705,19.996,-56.79
80.1540,11,w,20.001,14.963,-56.79
80.8960,2,z,23.252,9.997,-56.79
83.2210,11,w,29.753,10.005,63.21
83.2900,12,u,30.002,10.498,63.21
84.6210,21, ,34.801,20.003,63.21
85.8860,22,x,40.007,27.064,-19.59
86.9280,13,k,44.115,20.000,-64.79
88.3100,4,d,48.824,9.997,-64.79
88.6560,5,o,50.003,7.493,-64.79
90.9410,14,i,55.784,10.002,55.21
91.8650,15,h,60.002,16.073,55.21
92.4630,24,v,62.731,20.002,55.21
94.0390,25,j,70.001,24.743,-68.79
94.6750,16,b,71.842,19.999,-68.79
96.0160,7,s,75.723,9.998,-68.79
98.1090,8,t,80.002,6.464,63.21
98.6050,17,p,81.790,10.007,63.21
99.9910,26,l,83.689,20.001,115.21
102.9900,25,j,79.997,25.683,-132.79
103.9580,16,b,74.737,20.000,-132.79
104.8300,15,h,69.998,14.880,-132.79
105.6620,6,m,65.476,9.996,-132.79
106.6660,5,o,59.995,4.128,-143.03
107.8660,14,i,53.349,10.004,127.21
108.5590,13,k,49.997,14.419,127.21
109.4350,22,x,45.759,20.001,127.21
110.7580,21, ,39.998,25.840,-121.51
111.6080,12,u,36.517,19.999,-120.79
113.0630,3,n,30.559,10.000,-120.79
113.2000,2,z,29.998,9.058,-120.79
115.1620,11,w,20.892,10.004,119.21
115.3910,10,a,19.998,11.603,119.21
