sim_time_s,key_index,letter,x,y,heading_deg
126.3430,21, ,39.994,23.405,169.10
127.6110,20,f,29.997,23.639,-170.90
128.8770,19,q,19.996,22.038,-170.90
130.1430,18,g,9.995,20.437,-170.90
130.4890,9,y,7.262,20.000,-170.90
132.5380,18,g,3.113,20.005,114.30
133.7410,19,q,10.004,24.542,-26.58
134.8520,10,a,17.643,20.000,-30.90
135.1960,11,w,20.005,18.586,-30.90
136.6530,12,u,30.006,12.600,-30.90
137.2860,3,n,34.351,9.999,-30.90
138.1090,4,d,40.000,6.617,-30.90
139.5870,5,o,50.001,8.191,37.10
139.9620,14,i,52.394,10.001,37.10
141.1550,15,h,60.006,15.757,37.10
142.0350,24,v,65.622,20.003,37.10
142.7220,25,j,70.005,23.318,37.10
144.2010,26,l,80.002,20.829,-34.90
144.3830,17,p,81.196,19.996,-34.90
146.3450,8,t,80.303,9.997,-146.90
146.3910,7,s,79.995,9.796,-146.90
147.8680,6,m,69.998,5.958,133.10
148.5600,15,h,66.215,10.001,133.10
149.6980,14,i,59.995,16.649,133.10
150.2720,23,c,56.858,20.002,133.10
151.6310,22,x,49.997,25.289,-146.58
152.5160,13,k,45.307,19.995,-130.90
153.5300,12,u,39.995,13.864,-130.90
154.1700,3,n,36.642,9.994,-130.90
155.3120,2,z,29.999,4.601,153.66
156.2550,11,w,24.758,10.005,133.10
157.1260,10,a,19.998,15.094,133.10
157.9660,19,q,15.407,20.001,133.10
158.9830,18,g,9.998,26.070,130.30
159.2610,19,q,10.004,26.669,-156.18
159.3170,18,g,9.999,26.622,-142.10
159.3560,19,q,10.005,26.649,-132.26
159.5170,18,g,9.999,26.509,-118.50
160.4470,9,y,6.403,19.995,-118.90
161.8820,0,r,7.977,9.999,-58.90
162.3720,1,e,10.002,6.643,-58.90
164.0480,10,a,16.174,10.005,61.10
165.0380,11,w,20.002,16.939,61.10
165.4760,20,f,21.696,20.006,61.10
167.2750,21, ,30.002,21.874,-58.90
167.5490,12,u,31.134,19.997,-58.90
169.0090,3,n,37.167,9.995,-58.90
169.6860,4,d,40.002,5.382,-54.90
171.2900,13,k,45.942,10.007,61.10
172.3400,14,i,50.002,17.360,61.10
172.7170,23,c,51.460,20.001,61.10
174.4350,24,v,60.000,25.306,-62.90
175.1800,15,h,62.715,20.000,-62.90
176.5850,6,m,67.834,9.993,-62.90
177.1800,7,s,70.002,5.756,-62.90
179.5970,16,b,73.971,10.006,69.10
180.9350,25,j,77.791,20.006,69.10
181.7030,26,l,80.001,25.738,65.10
183.1180,17,p,84.150,19.995,-126.90
183.9820,16,b,79.999,14.468,-126.90
184.6810,7,s,76.641,9.996,-126.90
185.8930,6,m,69.995,4.022,149.50
186.9360,15,h,64.194,10.002,133.10
187.7040,14,i,59.996,14.488,133.10
188.6480,23,c,54.836,20.003,133.10
189.5270,22,x,49.998,25.104,135.90
190.0120,23,c,50.014,26.591,-151.06
190.3340,22,x,49.996,25.806,-122.90
191.1990,13,k,46.237,19.996,-122.90
192.6350,12,u,39.996,10.351,-122.90
192.6880,3,n,39.766,9.995,-122.90
194.4710,2,z,29.999,8.304,137.10
194.7830,11,w,28.170,10.003,137.10
196.1780,10,a,19.996,17.600,137.10
196.6190,19,q,17.412,20.002,137.10
197.9700,18,g,10.000,25.025,-140.98
198.9160,9,y,4.778,19.997,-105.94
200.1060,10,a,10.004,13.783,-42.90
200.8010,1,e,14.077,9.997,-42.90
201.9070,2,z,20.001,4.517,-18.66
203.1280,11,w,26.986,10.000,41.10
203.6280,12,u,30.001,12.629,41.10
205.0300,21, ,38.454,20.002,41.10
205.2870,22,x,40.003,21.353,41.10
206.8790,23,c,50.001,21.390,-42.90
207.1350,14,i,51.501,19.996,-42.90
208.5860,15,h,60.004,12.093,-42.90
208.9710,6,m,62.260,9.996,-42.90
210.2590,7,s,70.001,4.966,30.22
211.1010,16,b,74.462,10.002,49.10
212.1590,17,p,80.004,16.399,49.10
212.7550,26,l,83.126,20.003,49.10
217.3030,25,j,79.994,20.423,-142.90
217.3910,16,b,79.433,19.999,-142.90
218.8700,15,h,69.995,12.862,-142.90
219.4640,6,m,66.205,9.996,-142.90
220.4310,5,o,59.995,5.387,-150.90
221.6810,14,i,51.992,10.004,137.10
222.0210,13,k,49.999,11.856,137.10
223.5170,22,x,41.233,20.003,137.10
223.7280,21, ,39.996,21.152,137.10
225.3400,20,f,29.994,22.628,-138.90
225.8400,11,w,26.980,19.999,-138.90
226.9980,10,a,19.998,13.909,-138.90
227.7420,1,e,15.513,9.997,-138.90
228.6520,0,r,9.995,5.253,-149.22
229.6860,9,y,4.523,10.004,81.34
230.7100,10,a,10.001,15.998,45.10
231.4170,19,q,13.994,20.005,45.10
232.4540,20,f,20.004,25.696,25.98
233.5200,11,w,25.247,20.000,-58.90
234.6710,12,u,30.003,12.115,-58.90
234.9800,3,n,31.280,9.998,-58.90
237.2630,12,u,39.326,10.002,57.10
237.4190,13,k,40.004,11.050,57.10
238.7520,22,x,45.797,20.003,57.10
239.6890,23,c,50.006,26.186,36.06
240.9380,14,i,56.930,19.994,-54.90
241.6060,15,h,60.002,15.622,-54.90
242.4650,6,m,63.953,9.999,-54.90
244.1690,7,s,70.003,6.263,57.10
244.7260,16,b,72.423,10.004,57.10
246.2150,25,j,78.895,20.005,57.10
246.4700,26,l,80.003,21.718,57.10
248.5510,17,p,82.197,19.999,-146.90
248.8790,16,b,79.998,18.566,-146.90
250.3710,15,h,69.999,12.049,-146.90
250.8410,6,m,66.849,9.996,-146.90
251.8660,5,o,59.994,5.496,-142.90
253.2920,4,d,49.998,9.612,149.10
253.3870,13,k,49.346,10.003,149.10
254.7490,12,u,39.997,15.599,149.10
255.8210,21, ,32.638,20.004,149.10
256.2060,20,f,29.996,21.586,149.10
257.6990,19,q,19.995,23.476,-146.90
258.4950,10,a,14.660,19.999,-146.90
259.1910,9,y,9.995,16.958,-146.90
262.1940,0,r,9.012,9.998,-26.90
262.3330,1,e,10.003,9.495,-26.90
263.7150,2,z,20.003,4.879,-6.90
265.2350,11,w,29.675,10.000,33.10
265.2840,12,u,30.004,10.215,33.10
266.7760,13,k,40.003,16.732,33.10
267.5250,22,x,45.023,20.004,33.10
268.2680,23,c,50.003,23.249,33.10
269.7260,24,v,60.006,21.364,-34.90
270.0240,15,h,61.961,20.000,-34.90
271.2500,16,b,70.005,14.388,-34.90
272.2090,7,s,76.297,9.997,-34.90
272.7740,8,t,80.003,7.411,-34.90
275.4720,17,p,80.602,10.006,129.10
275.5920,16,b,79.997,10.751,129.10
277.0820,25,j,72.480,20.002,129.10
277.5740,24,v,69.998,23.057,129.10
279.2480,15,h,60.909,19.999,-130.90
279.4220,14,i,59.998,18.946,-130.90
280.9020,5,o,52.245,9.998,-130.90
281.3310,4,d,49.998,7.404,-130.90
282.9390,13,k,42.632,10.003,117.10
283.6620,12,u,39.997,15.152,117.10
284.3430,21, ,37.516,20.002,117.10
287.6370,22,x,40.002,20.408,-66.90
287.6930,13,k,40.178,19.996,-66.90
289.0520,4,d,44.443,9.996,-66.90
291.5500,13,k,47.775,10.001,81.10
292.8160,22,x,49.342,20.007,81.10
293.3480,23,c,50.001,24.212,81.10
295.1260,14,i,56.069,19.995,-62.90
296.2050,15,h,60.001,12.311,-62.90
296.5300,6,m,61.185,9.996,-62.90
298.8000,15,h,67.374,10.007,73.10
299.9290,16,b,70.001,18.649,73.10
