sim_time_s,key_index,letter,x,y,heading_deg
0.9370,14,i,59.998,19.351,129.10
1.0420,23,c,59.468,20.003,129.10
5.1040,14,i,58.512,19.998,-74.90
5.8190,15,h,60.002,14.475,-74.90
6.3990,6,m,61.210,9.995,-74.90
8.2190,5,o,59.998,3.607,127.50
9.0930,14,i,57.184,10.000,113.10
10.4520,23,c,52.919,20.001,113.10
11.3400,22,x,49.999,26.471,120.14
11.3910,23,c,50.002,26.454,117.10
11.6160,22,x,49.999,26.690,101.10
12.0350,23,c,50.002,26.819,106.62
12.4650,22,x,49.994,26.417,139.26
12.6430,23,c,50.011,26.644,171.82
12.6640,22,x,49.998,26.644,174.06
12.9180,23,c,50.002,27.247,-112.90
12.9390,22,x,49.999,27.234,-109.54
13.8990,13,k,48.331,19.994,-102.90
15.1810,4,d,46.041,9.997,-102.90
17.4120,3,n,40.000,6.610,117.10
17.8880,12,u,38.265,10.000,117.10
19.2930,21, ,33.146,20.007,117.10
20.1360,20,f,29.997,25.968,119.82
20.4600,21, ,30.003,26.404,136.54
20.4880,20,f,29.997,26.410,137.18
20.7210,21, ,30.015,26.984,-155.70
21.4030,20,f,30.000,24.051,-102.90
21.9230,11,w,29.071,19.996,-102.90
23.2050,2,z,26.780,9.999,-102.90
25.7630,11,w,20.232,10.005,109.10
25.8520,10,a,20.000,10.678,109.10
27.0860,19,q,16.770,20.007,109.10
29.3200,10,a,10.210,19.994,-118.90
29.3750,9,y,9.997,19.609,-118.90
30.7340,0,r,4.950,9.999,-104.02
32.7480,1,e,10.002,6.941,53.10
33.2270,10,a,12.303,10.005,53.10
34.7900,19,q,19.811,20.004,53.10
34.8300,20,f,20.003,20.260,53.10
36.6670,21, ,30.003,20.639,-50.90
36.7700,12,u,30.522,19.999,-50.90
38.3810,3,n,38.650,9.997,-50.90
38.6490,4,d,40.002,8.333,-50.90
40.6910,13,k,46.472,10.003,69.10
41.9280,14,i,50.003,19.248,69.10
42.0290,23,c,50.291,20.003,69.10
44.2510,14,i,57.840,19.994,-70.90
45.0770,15,h,60.002,13.749,-70.90
45.5730,6,m,61.300,10.000,-70.90
47.9250,5,o,59.997,5.348,129.10
48.6750,14,i,56.213,10.005,129.10
49.9070,13,k,49.998,17.654,129.10
50.2850,22,x,48.091,20.001,129.10
51.9240,21, ,39.999,24.240,-130.90
52.6260,12,u,36.321,19.996,-130.90
53.8330,11,w,29.999,12.698,-130.90
54.2800,2,z,27.657,9.995,-130.90
55.5850,1,e,19.996,5.270,137.10
56.4540,10,a,14.904,10.003,137.10
57.2910,9,y,9.999,14.561,137.10
58.2510,18,g,4.646,20.001,107.58
59.2810,19,q,10.004,25.124,-13.54
60.3570,10,a,16.873,19.996,-38.90
60.8600,11,w,20.005,17.469,-38.90
62.3470,2,z,29.262,9.998,-38.90
62.4660,3,n,30.003,9.400,-38.90
63.9920,4,d,40.002,6.551,37.10
64.7070,13,k,44.565,10.001,37.10
65.5590,14,i,50.002,14.112,37.10
66.7800,23,c,57.793,20.004,37.10
67.1260,24,v,60.001,21.673,37.10
68.5950,25,j,70.002,22.684,-30.90
69.2490,16,b,74.492,19.997,-30.90
70.0520,17,p,80.004,16.698,-30.90
71.3370,8,t,84.191,9.997,-142.90
71.9940,7,s,79.998,6.827,-142.90
73.4580,6,m,69.997,8.401,145.10
73.8080,15,h,67.701,10.003,145.10
74.9820,14,i,59.998,15.377,145.10
75.9920,23,c,53.372,20.001,145.10
76.5060,22,x,50.000,22.354,145.10
78.0850,21, ,39.997,21.903,-138.90
78.4470,12,u,37.815,19.999,-138.90
79.7440,11,w,29.995,13.179,-138.90
80.3490,2,z,26.348,9.998,-138.90
81.3950,1,e,19.997,4.560,-156.98
82.5150,10,a,13.351,10.006,133.10
83.1290,9,y,9.995,13.593,133.10
84.1900,18,g,4.525,20.004,100.62
85.1500,19,q,10.005,24.833,31.02
86.5270,20,f,20.004,21.128,-26.90
86.8390,11,w,22.230,19.999,-26.90
87.9290,12,u,30.006,16.053,-26.90
89.3300,13,k,40.001,10.981,-26.90
89.6020,4,d,41.941,9.997,-26.90
90.7320,5,o,50.003,5.906,-26.90
92.1870,6,m,60.003,8.419,29.10
92.5940,15,h,62.848,10.003,29.10
93.6180,16,b,70.006,13.986,29.10
95.0480,17,p,80.003,19.549,29.10
95.1640,26,l,80.814,20.000,29.10
97.6250,25,j,79.999,24.893,-169.46
99.0220,24,v,69.994,20.320,-154.90
99.1170,15,h,69.306,19.998,-154.90
100.4020,14,i,59.996,15.638,-154.90
101.7820,13,k,49.998,10.955,-154.90
102.0640,4,d,47.955,9.998,-154.90
103.1630,3,n,39.993,6.269,-154.90
104.4580,2,z,29.993,7.459,165.10
105.6930,11,w,20.445,10.000,165.10
105.7510,10,a,19.997,10.119,165.10
107.0450,9,y,9.993,12.782,165.10
109.0340,18,g,8.717,20.001,21.10
109.2060,19,q,10.001,20.496,21.10
110.5460,20,f,20.002,24.354,21.10
111.9220,21, ,30.002,20.987,-26.90
112.1950,12,u,31.949,19.999,-26.90
113.3240,13,k,40.004,15.912,-26.90
114.7260,14,i,50.006,10.836,-26.90
114.9570,5,o,51.654,10.000,-26.90
116.1210,6,m,60.001,5.880,-22.90
117.4570,7,s,70.000,7.853,25.10
118.0900,16,b,74.586,10.001,25.10
118.8380,17,p,80.005,12.539,25.10
121.2510,16,b,79.994,15.699,169.10
122.5240,15,h,69.994,17.625,169.10
123.7970,14,i,59.994,19.552,169.10
124.0940,23,c,57.661,20.001,169.10
125.0700,22,x,49.994,21.478,169.10
